name,price,image_url
Pull-On Seersucker Swim Trunk,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Thrift-Inspired Fleece Short,$50,https://img.abercrombie.com/is/image/anf/KIC_128-4125-0027-323_model1?policy=product-medium
Vintage-Inspired Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4073-0114-908_model1?policy=product-medium
Essential Tee,$19,https://img.abercrombie.com/is/image/anf/KIC_124-4091-0145-320_model1?policy=product-medium
Premium Polished Micro-Logo Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-4149-0156-120_prod1?policy=product-medium
Athletic Loose Workwear Pant,$90,https://img.abercrombie.com/is/image/anf/KIC_130-4067-0006-336_model1?policy=product-medium
Linen Button-Up Shirt,$80,https://img.abercrombie.com/is/image/anf/KIC_125-4387-00097-300_model1?policy=product-medium
A&F All-Day Pull-On Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4099-0073-230_prod1?policy=product-medium
Loose Workwear Short,$70,https://img.abercrombie.com/is/image/anf/KIC_128-4122-0087-336_model1?policy=product-medium
Rocky Mountains Graphic Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-4032-0094-903_prod1?policy=product-medium
Essential Tee,$25,https://img.abercrombie.com/is/image/anf/KIC_124-4042-0154-118_prod1?policy=product-medium
Premium Polished Micro-Logo Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-4149-0156-100_model1?policy=product-medium
Crochet-Style Button-Through Sweater Polo,$80,https://img.abercrombie.com/is/image/anf/KIC_120-4003-0164-100_life1?policy=product-medium
Pull-On Seersucker Swim Trunk,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Loose Jean,$90,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Vintage-Inspired Tee,$29,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Yellowstone Graphic Tee,$40,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
A&F All-Day Pull-On Short,$60,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Athletic Straight Jean,$80,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Vintage-Inspired Tee,$29,"data:image/gif;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs="
Lightweight Baggy Jean,$90,https://img.abercrombie.com/is/image/anf/KIC_131-4078-0121-175_model1?policy=product-medium
Vintage-Inspired Cropped Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4480-00253-175_model1?policy=product-medium
Linen-Blend Pull-On Pant,$80,https://img.abercrombie.com/is/image/anf/KIC_130-4025-0029-412_model1?policy=product-medium
Essential Tee,$25,https://img.abercrombie.com/is/image/anf/KIC_124-4039-0153-318_model1?policy=product-medium
Vintage-Inspired Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4085-0164-200_model1?policy=product-medium
Pull-On Seersucker Swim Trunk,$60,https://img.abercrombie.com/is/image/anf/KIC_133-4000-0053-902_model1?policy=product-medium
Loose Workwear Pant,$80,https://img.abercrombie.com/is/image/anf/KIC_130-4063-0045-330_prod1?policy=product-medium
Premium Heavyweight Cropped Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_124-4279-0224-308_model1?policy=product-medium
A&F All-Day Short,$60,https://img.abercrombie.com/is/image/anf/KIC_128-4032-0019-200_model1?policy=product-medium
Athletic Loose Jean,$90,https://img.abercrombie.com/is/image/anf/KIC_131-4181-00036-900_prod1?policy=product-medium
Vintage-Inspired Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4472-00289-318_prod1?policy=product-medium
Two-Button Camp Collar Sweater Polo,$60,https://img.abercrombie.com/is/image/anf/KIC_120-4114-0209-178_prod1?policy=product-medium
Modelo Graphic Tee,$40,https://img.abercrombie.com/is/image/anf/KIC_123-4002-0119-203_prod1?policy=product-medium
Classic Polished V-Neck Tee,$25,https://img.abercrombie.com/is/image/anf/KIC_124-4187-0203-100_prod1?policy=product-medium
Lightweight Athletic Loose Jean,$80,https://img.abercrombie.com/is/image/anf/KIC_131-4201-00141-278_prod1?policy=product-medium
Signature Icon Don't Sweat It Polo,$35,https://img.abercrombie.com/is/image/anf/KIC_124-3130-8605-900_prod1?policy=product-medium
Distressed Vintage-Inspired Tee,$35,https://img.abercrombie.com/is/image/anf/KIC_124-4189-0237-408_prod1?policy=product-medium
Essential Popover Hoodie,$60,https://img.abercrombie.com/is/image/anf/KIC_122-3168-1427-170_prod1?policy=product-medium
Essential Crew Sweatshirt,$50,https://img.abercrombie.com/is/image/anf/KIC_122-3147-0173-170_prod1?policy=product-medium
Loose Workwear Jean,$90,https://img.abercrombie.com/is/image/anf/KIC_131-2523-2535-975_model1?policy=product-medium
Vintage-Inspired Tee,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4470-00287-608_prod1?policy=product-medium
Lightweight Baggy Workwear Jean,$100,https://img.abercrombie.com/is/image/anf/KIC_131-4077-0120-977_model1?policy=product-medium
Camp Collar Summer Linen-Blend Shirt,$60,https://img.abercrombie.com/is/image/anf/KIC_125-4207-0141-305_model1?policy=product-medium
Premium Heavyweight Cropped Tank,$29,https://img.abercrombie.com/is/image/anf/KIC_124-4619-00011-100_prod1?policy=product-medium
